trial_num,prime,target,foil1,foil2,prime_target_obj_index,prime_target_subj_index,condition
1,tasks/semantic/Semantic_symbolic/Semantic_ListA/walrus.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/cougar.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/walnuts.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/stove.jpg,0.7452575,strong,E
2,tasks/semantic/Semantic_symbolic/Semantic_ListA/earring.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/scarf.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/shovel.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/flute.jpg,0.42778197,medium,D
3,tasks/semantic/Semantic_symbolic/Semantic_ListA/falcon.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/mosquito.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/kettle.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/hook.jpg,0.35063612,medium,D
4,tasks/semantic/Semantic_symbolic/Semantic_ListA/stick.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/bow.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/tissue.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/trap.jpg,0.80226904,strong,E
5,tasks/semantic/Semantic_symbolic/Semantic_ListA/truck.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/car.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/keg.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/pen.jpg,0.760769,strong,E
6,tasks/semantic/Semantic_symbolic/Semantic_ListA/bread.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/biscuit.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/dart.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/fly.jpg,0.94906795,strong,E
7,tasks/semantic/Semantic_symbolic/Semantic_ListA/jar.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/vase.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/juice.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/igloo.jpg,0.90745705,strong,E
8,tasks/semantic/Semantic_symbolic/Semantic_ListA/soup.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/salad.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/harp.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/arrow.jpg,0.7899963,strong,E
9,tasks/semantic/Semantic_symbolic/Semantic_ListA/chimpanzee.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/orangutan.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/milk.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/hammer.jpg,0.7437302,strong,E
10,tasks/semantic/Semantic_symbolic/Semantic_ListA/faucet.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/hose.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/knife.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/thermometer.jpg,0.39054054,medium,D
11,tasks/semantic/Semantic_symbolic/Semantic_ListA/armadillo.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/skunk.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/mask.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/lantern.jpg,0.7060736,strong,E
12,tasks/semantic/Semantic_symbolic/Semantic_ListA/pencil.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/paintbrush.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/brush.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/button.jpg,0.48814768,medium,D
13,tasks/semantic/Semantic_symbolic/Semantic_ListA/asparagus.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/avocado.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/bus.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/fan.jpg,0.847801,strong,E
14,tasks/semantic/Semantic_symbolic/Semantic_ListA/beetle.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/wasp.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/raincoat.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/necklace.jpg,0.7940909,strong,E
15,tasks/semantic/Semantic_symbolic/Semantic_ListA/rope.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/ladder.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/blanket.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/dynamite.jpg,0.49127808,medium,D
16,tasks/semantic/Semantic_symbolic/Semantic_ListA/eagle.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/iguana.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/cow.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/ball.jpg,0.54328805,medium,D
17,tasks/semantic/Semantic_symbolic/Semantic_ListA/zebra.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/kangaroo.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/chalk.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/ashtray.jpg,0.58587444,medium,D
18,tasks/semantic/Semantic_symbolic/Semantic_ListA/frog.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/seal.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/donkey.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/robot.jpg,0.34582463,medium,D
19,tasks/semantic/Semantic_symbolic/Semantic_ListA/goose.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/caterpillar.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/raisins.jpg,tasks/semantic/Semantic_symbolic/Semantic_ListA/nutcracker.jpg,0.47478345,medium,D
